vertices;density;time
20;25;18
40;25;43
60;25;71
80;25;95
100;25;130
120;25;174
140;25;211
160;25;256
180;25;349
200;25;423
20;50;23
40;50;43
60;50;81
80;50;113
100;50;163
120;50;267
140;50;231
160;50;302
180;50;352
200;50;362
20;75;18
40;75;50
60;75;66
80;75;111
100;75;244
120;75;196
140;75;537
160;75;468
180;75;491
200;75;405
20;99;18
40;99;46
60;99;78
80;99;97
100;99;153
120;99;191
140;99;209
160;99;265
180;99;387
200;99;625
