vertices;density;time
20;25;16
40;25;40
60;25;81
80;25;125
100;25;196
120;25;273
140;25;324
160;25;402
180;25;509
200;25;653
20;50;17
40;50;47
60;50;133
80;50;152
100;50;194
120;50;259
140;50;371
160;50;430
180;50;527
200;50;646
20;75;14
40;75;36
60;75;82
80;75;166
100;75;214
120;75;532
140;75;572
160;75;575
180;75;645
200;75;753
20;99;13
40;99;46
60;99;82
80;99;147
100;99;218
120;99;260
140;99;341
160;99;538
180;99;994
200;99;1059
