vertices;density;time
20;25;15
40;25;37
60;25;68
80;25;106
100;25;153
120;25;235
140;25;396
160;25;335
180;25;450
200;25;712
20;50;21
40;50;40
60;50;105
80;50;162
100;50;153
120;50;209
140;50;283
160;50;345
180;50;426
200;50;514
20;75;11
40;75;31
60;75;70
80;75;148
100;75;189
120;75;393
140;75;477
160;75;422
180;75;493
200;75;580
20;99;11
40;99;54
60;99;67
80;99;131
100;99;156
120;99;217
140;99;322
160;99;638
180;99;750
200;99;770
