vertices;density;time
20;25;24
40;25;48
60;25;87
80;25;161
100;25;192
120;25;263
140;25;305
160;25;354
180;25;640
200;25;529
20;50;20
40;50;54
60;50;80
80;50;182
100;50;237
120;50;274
140;50;459
160;50;407
180;50;567
200;50;593
20;75;19
40;75;45
60;75;84
80;75;190
100;75;220
120;75;345
140;75;639
160;75;601
180;75;754
200;75;660
20;99;21
40;99;51
60;99;90
80;99;122
100;99;210
120;99;271
140;99;318
160;99;652
180;99;594
200;99;852
