vertices;density;time
20;25;32
40;25;81
60;25;143
80;25;198
100;25;313
120;25;370
140;25;498
160;25;598
180;25;752
200;25;938
20;50;30
40;50;80
60;50;141
80;50;228
100;50;312
120;50;424
140;50;544
160;50;723
180;50;881
200;50;1121
20;75;28
40;75;67
60;75;132
80;75;261
100;75;517
120;75;451
140;75;915
160;75;1007
180;75;955
200;75;934
20;99;28
40;99;76
60;99;176
80;99;188
100;99;328
120;99;408
140;99;533
160;99;661
180;99;909
200;99;1544
