vertices;density;time
20;25;29
40;25;74
60;25;132
80;25;175
100;25;255
120;25;333
140;25;413
160;25;637
180;25;589
200;25;683
20;50;42
40;50;84
60;50;144
80;50;204
100;50;257
120;50;373
140;50;402
160;50;513
180;50;725
200;50;730
20;75;29
40;75;73
60;75;144
80;75;192
100;75;268
120;75;345
140;75;719
160;75;713
180;75;894
200;75;912
20;99;30
40;99;77
60;99;129
80;99;161
100;99;271
120;99;327
140;99;401
160;99;479
180;99;1401
200;99;1135
