vertices;density;time
20;25;16
40;25;43
60;25;85
80;25;131
100;25;217
120;25;298
140;25;424
160;25;439
180;25;558
200;25;950
20;50;28
40;50;50
60;50;130
80;50;153
100;50;210
120;50;278
140;50;509
160;50;457
180;50;602
200;50;691
20;75;14
40;75;39
60;75;86
80;75;158
100;75;225
120;75;565
140;75;712
160;75;551
180;75;622
200;75;759
20;99;13
40;99;116
60;99;108
80;99;155
100;99;215
120;99;277
140;99;467
160;99;646
180;99;970
200;99;915
